time,P,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.0,6.89,0.97,0.0
20190101:0110,0.0,0.0,0.0,6.69,0.83,0.0
20190101:0210,0.0,0.0,0.0,6.43,0.69,0.0
20190101:0310,0.0,0.0,0.0,6.11,0.62,0.0
20190101:0410,0.0,0.0,0.0,5.78,0.69,0.0
20190101:0510,0.0,0.0,0.0,5.55,0.76,0.0
20190101:0610,0.0,0.0,0.0,5.44,0.9,0.0
20190101:0710,0.0,0.0,0.0,4.17,0.9,0.0
20190101:0810,18742000.0,231.3,5.06,3.88,1.03,0.0
20190101:0910,47352000.0,560.28,13.99,4.9,0.76,0.0
20190101:1010,64044000.0,792.05,21.23,7.91,0.28,0.0
20190101:1110,70125000.0,899.59,26.18,11.91,0.28,0.0
20190101:1210,73309000.0,951.02,28.26,13.51,0.48,0.0
20190101:1310,71911000.0,923.76,27.19,14.41,0.9,0.0
20190101:1410,62947000.0,793.05,23.12,14.84,1.1,0.0
20190101:1510,47998000.0,594.45,16.55,14.78,1.17,0.0
20190101:1610,25428000.0,324.03,8.11,14.04,1.1,0.0
20190101:1710,0.0,0.0,0.0,12.09,1.38,0.0
20190101:1810,0.0,0.0,0.0,9.36,1.38,0.0
20190101:1910,0.0,0.0,0.0,8.22,1.38,0.0
20190101:2010,0.0,0.0,0.0,8.22,1.1,0.0
20190101:2110,0.0,0.0,0.0,7.73,1.03,0.0
20190101:2210,0.0,0.0,0.0,6.93,1.03,0.0
20190101:2310,0.0,0.0,0.0,6.99,0.97,0.0
20190102:0010,0.0,0.0,0.0,6.78,1.03,0.0
20190102:0110,0.0,0.0,0.0,6.23,1.24,0.0
20190102:0210,0.0,0.0,0.0,6.57,0.97,0.0
20190102:0310,0.0,0.0,0.0,6.25,0.48,0.0
20190102:0410,0.0,0.0,0.0,5.89,0.28,0.0
20190102:0510,0.0,0.0,0.0,5.39,0.41,0.0
20190102:0610,0.0,0.0,0.0,4.95,0.41,0.0
20190102:0710,0.0,0.0,0.0,4.57,0.62,0.0
20190102:0810,19744000.0,244.16,5.05,4.39,0.48,0.0
20190102:0910,45797000.0,544.59,13.99,4.84,0.28,0.0
20190102:1010,63327000.0,781.71,21.26,7.51,0.21,0.0
20190102:1110,70975000.0,896.35,26.23,9.87,0.48,0.0
20190102:1210,74227000.0,949.18,28.35,11.35,0.62,0.0
20190102:1310,71876000.0,915.56,27.3,12.32,0.76,0.0
20190102:1410,63327000.0,792.73,23.24,12.81,0.9,0.0
20190102:1510,48565000.0,595.59,16.68,12.75,1.17,0.0
20190102:1610,25704000.0,323.79,8.24,12.08,1.31,0.0
20190102:1710,0.0,0.0,0.0,10.51,1.45,0.0
20190102:1810,0.0,0.0,0.0,7.97,1.24,0.0
20190102:1910,0.0,0.0,0.0,6.46,1.31,0.0
20190102:2010,0.0,0.0,0.0,4.98,1.52,0.0
20190102:2110,0.0,0.0,0.0,3.42,1.72,0.0
20190102:2210,0.0,0.0,0.0,2.27,1.72,0.0
20190102:2310,0.0,0.0,0.0,1.81,1.59,0.0
20190103:0010,0.0,0.0,0.0,1.5,1.59,0.0
20190103:0110,0.0,0.0,0.0,0.94,1.66,0.0
20190103:0210,0.0,0.0,0.0,0.41,1.66,0.0
20190103:0310,0.0,0.0,0.0,0.22,1.59,0.0
20190103:0410,0.0,0.0,0.0,0.26,1.45,0.0
20190103:0510,0.0,0.0,0.0,0.15,1.38,0.0
20190103:0610,0.0,0.0,0.0,-0.12,1.38,0.0
20190103:0710,0.0,0.0,0.0,-0.22,1.45,0.0
20190103:0810,17713000.0,215.71,5.04,0.03,1.45,0.0
20190103:0910,47365000.0,551.34,14.01,2.25,1.03,0.0
20190103:1010,64891000.0,782.43,21.3,6.12,1.1,0.0
20190103:1110,71812000.0,890.2,26.3,8.6,1.03,0.0
20190103:1210,74629000.0,943.24,28.43,10.4,0.9,0.0
20190103:1310,72402000.0,917.28,27.41,11.47,0.83,0.0
20190103:1410,63853000.0,795.95,23.36,12.1,0.97,0.0
20190103:1510,48319000.0,592.94,16.81,12.21,0.9,0.0
20190103:1610,25809000.0,326.4,8.38,11.78,0.41,0.0
20190103:1710,0.0,0.0,0.0,10.57,0.34,0.0
20190103:1810,0.0,0.0,0.0,9.3,0.48,0.0
20190103:1910,0.0,0.0,0.0,8.29,0.62,0.0
20190103:2010,0.0,0.0,0.0,7.3,0.97,0.0
20190103:2110,0.0,0.0,0.0,5.57,1.17,0.0
20190103:2210,0.0,0.0,0.0,5.54,1.03,0.0
20190103:2310,0.0,0.0,0.0,5.52,0.76,0.0
20190104:0010,0.0,0.0,0.0,5.15,0.62,0.0
20190104:0110,0.0,0.0,0.0,4.79,0.76,0.0
20190104:0210,0.0,0.0,0.0,4.45,0.9,0.0
20190104:0310,0.0,0.0,0.0,4.16,0.9,0.0
20190104:0410,0.0,0.0,0.0,3.82,0.62,0.0
20190104:0510,0.0,0.0,0.0,3.44,0.55,0.0
20190104:0610,0.0,0.0,0.0,3.15,0.83,0.0
20190104:0710,0.0,0.0,0.0,1.84,1.1,0.0
20190104:0810,20373000.0,246.69,5.05,0.73,1.31,0.0
20190104:0910,47516000.0,554.89,14.03,2.55,0.9,0.0
20190104:1010,64085000.0,775.63,21.34,6.07,0.83,0.0
20190104:1110,72067000.0,898.43,26.37,8.39,0.76,0.0
20190104:1210,74676000.0,950.98,28.53,10.12,0.55,0.0
20190104:1310,72551000.0,926.49,27.53,11.23,0.48,0.0
20190104:1410,63183000.0,791.03,23.5,11.79,0.62,0.0
20190104:1510,48175000.0,590.11,16.95,11.9,0.9,0.0
20190104:1610,25971000.0,325.86,8.52,11.43,1.17,0.0
20190104:1710,0.0,0.0,0.0,10.12,1.52,0.0
20190104:1810,0.0,0.0,0.0,7.76,1.24,0.0
20190104:1910,0.0,0.0,0.0,6.54,1.1,0.0
20190104:2010,0.0,0.0,0.0,5.4,1.24,0.0
20190104:2110,0.0,0.0,0.0,4.18,1.31,0.0
